Job Title,Company Name,Job Location,Salary,Applying Method,Job Type,Job link
Research Analyst,LRP,Lahore,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=7c1b936246b83a04&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXjYaUUbLkMWWUpQxDOV8IKaqqndQNdtVawEXH6hhb7ngUsiN6USUMFPdtJo8nL81QhzNBjmlJdJ9O08EQhF0JoYfwhJOMYPjAzSwl06fzF-4qB-Y729RctqpVcg0L0AVw8%3D&xkcb=SoDu67M3sFdDwPTC850BbzkdCdPP
Data Analyst,Digilatics,Lahore,"Rs 120,000 - Rs 250,000 a month",Easily apply,Full-time,https://pk.indeed.com/rc/clk?jk=073541c5fde89991&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXgcAIyPQoyZ7BB1JSOw9FoWItzKHKH3pSsRyPUU6fsIXSF5HqYL4HWdZ7Gn_yJ5KbdyvsUlAM6yYJ7T6fohbLGNtgTijaN_s6MGcyFH6WbFLpZ5XIfC5EgDnlQpvrTVBrg%3D&xkcb=SoD967M3sFdDwPTC850FbzkdCdPP
Power BI Database Developer (Remote),Architecture in Motion Inc.,Lahore,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=0aeaa9960dbe1c01&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXgvN0K4Kya_oaf4-es7XtTIA55bp2qV4zNt_zRo92gYHeIWcZSdX6hb6XRnosxXwtsYJSj1p3ymgu3L-laHXI9hKP8WFCyw7iKXG7MdqYcShGz1rSYcibwkkQ5Hx4CSxY0%3D&xkcb=SoBH67M3sFdDwPTC850ZbzkdCdPP
Data Analyst (Looker Expert) Remote,Hiring Bees,Pakistan,,Easily apply,,https://pk.indeed.com/rc/clk?jk=2434ce347198c4af&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXiLqvo66O6DdTrOYq_a0VMzB-k6I8EM-XdDH4mZYmxyI5kj6vZl28pguw35I5zcP8YYlxQd6SGduRaRrtM8JC56IsULv1Zw0BtSZCHps0GXNJdrHVyjy-gVwWkP2UgKzqw%3D&xkcb=SoBU67M3sFdDwPTC850dbzkdCdPP
Data Analyst,Remote office solutions (SMC-Private) limited,Lahore,"Rs 100,000 - Rs 120,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=2d0f33e834adbbb2&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXgvN0K4Kya_oe5ewxMkM1UoBpih9KGOkiBt4VgGN3frweJIMi57Ov7SDZk_boycRemL6X6wUPjr05UguKTjWexpr4KWVwxk6cYHkSdBtYuDXz7-W3aZdBHS82VY6mmwj5k%3D&xkcb=SoAg67M3sFdDwPTC850RbzkdCdPP
Sr BI/Data Analyst,Cube discipline,Lahore,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=45ed4fd85615d35f&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXj3g9bHIRhrz-SkfdNeNS6vDv9hQi8OhFCegkow-XZrd4ptZvHfRYETY65HxKDzuwAtZDwPXmv1W939fCh9Ybdo5SN2Fb8fcveBKzIMC9s4vg2its4kKz_7laRd5_i-RIw%3D&xkcb=SoAz67M3sFdDwPTC850VbzkdCdPP
Market Research Analyst,Connect Communications,Pakistan,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=e2eac3d4e438903e&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXi7_0_m1CjjyEIWtG9BwbxvEZ8bvKdRlzPLWR7-ARbpNcTA0Wf4bLNyHbOvTIrBt0wHdwd-6vaVrOro-K7IVRqGHu3gSZi6gJ-wUZ4ugsBAiamxkbq1IdZsSATRxVUW6YU%3D&xkcb=SoAV67M3sFdDwPTC850pbzkdCdPP
Senior Business Analyst - QA Experience - US/UK based Project (Remote),Data ConneXion Pvt Ltd,Pakistan,"From Rs 150,000 a month",Easily apply,Full-time,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-TuwrYDKdMT4QxhXU-tpQ08ydf8cUEp0tvnmBoUIL50QhM9TmrWQGp0roLOey1ZOvYufwQuhBiIcM7RRWtX2TQcxTGZ0GbXY8TkCjR0k5xXlufk0wBHC9o0jjVb4HHK66RSm0I4qEeNcSlwCsCb8VQSuREXQDPFbp4rW3rOhyiUkDD9HKQmEoWOSI9FxELz8dQc2qE-gXPh3Wf7KpsxnmBJTwWOiTMZsbYU894WmXmQ_hu584ZO0RDFV2dPKlAy1rgfGLmFT5E73O9fSZuRmT3fDgJbqJIgpyHSozXYweYo3tVkD1_OoaWGl8wvJaYhNZKikntdP6i6g0ht9tzGdYwPid573Kj3sanTRsrZLIv44hUk_QPLMVOjgPuQgm8091t2Ohr-U7UNxSt1t2JFWUusDjOhBmw6-c1Ms7yWrwrLyRsd7drUeH-XVhhK0o8NTa4T7SxMTB_J6sWwRS-dpUnX2OHhXK_yX1hndqOgbWEaRxyn_Z3_hZrN3GR_vKoL00fwRpcJnghjxmL5ZVjdTA-ethpS2rjnJjkm5_G86Cz_N26JAoPQ_wQZ59XPbNsXX1KjHtfV5o0oAwHsnRw2V1GC0XsobjCjD_nAoquplVnByNGLVLf8-7-tH1UomCScQT8p9Ga09vNrcwUOuXn1uGaR8HnBbpZQaMbo41Ukkdbqte-Pdkz_xyEBHnuHGdY8SO43Q_4hURgks10za1SmQexlQ8JcQjYoEqR4TaBYgjxLUCdeEjRlzt_dZfakfUa08K29TJuwMzVt07bF7UPdMTTLty5LTGpgmDl-1IaMJsjOXFo0sa0bK6&xkcb=SoCl6_M3sFdDwPzC850KbzkdCdPP&camk=UoKtGZLa3XKGC-9eSvvEiA%3D%3D&from=hp&tk=1j65aj0cfhbvm801&jsa=8621&vjs=3
Account Payable Specialist | UK Market - Remote,Team Zeta (Hiring Agency),Pakistan,"Rs 140,000 - Rs 170,000 a month",Easily apply,,https://pk.indeed.com/rc/clk?jk=7388be00fa559d74&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXhSitlV11t4fB-IMFZ-M52TQgVzB2Xeh7kLkpK0JLdx7QXU2E2uz_UDK1OmKZ-7zJniuxKZP7y8vvRzKii5mxV0gvFRwTVb2Z_jbvgvdmWc_aFJx2HnZnkxd-HjWyZp5yQ%3D&xkcb=SoBC67M3sFdDwPzC850ObzkdCdPP
SDE III - Data Analyst,Mentruiter,Pakistan,,Easily apply,,https://pk.indeed.com/rc/clk?jk=08f67914066cce90&from=hp&tk=1j65aj0cfhbvm801&bb=FEZ2JP3MrXjIkBMYIjawL9x9xsD73CHmJQYwoGcYprtRv4Yqk3M8Y_0hTjte-EEaP5m9_d9YpCryS1_M98J9zTw5GXsO_Y-KOrdp_Bbmd_1eEGARJOaTvW51laCeh9EdivpgRn18-Hs%3D&xkcb=SoA267M3sFdDwPzC850CbzkdCdPP
MS Excel Expert,Axen Apparel (Pvt) Ltd.,Lahore,,Easily apply,,https://pk.indeed.com/rc/clk?jk=314a5d9bf95069ab&from=hp&tk=1j65aj1rehbm0801&bb=6_9HAhBIidR0Lo1Yr7gQ-ywmSTaVoz6O4_xSKyIDEBTUK-coTW2EKQosJ40pN2bV25ZVP9t1oMN1cLY6lEAsmkZIVI3wMvoQAUa58suQSsxm6jNobfTQInuf9bV5K7t3DWwzmcVIzzo%3D&xkcb=SoCV67M3sFdDl_z42p0AbzkdCdPP
FP&A Analyst (Startup and SMB Clients) PK,Kresko,Pakistan,Full-time,Easily apply,,https://pk.indeed.com/rc/clk?jk=c3f187bab50e88e9&from=hp&tk=1j65aj1rehbm0801&bb=6_9HAhBIidQYMrY4-PBP_UjcRjMpUFqCiQu5hv9p7dn9SoHLja7zNMmqFhsXuEGrcq_D1_WWUzPYN3oRA5Wo7lHvtRJzYOl74NlLts6wF2cYpW-31GK0aJvEfRyupExAPqrJZEdMRUs%3D&xkcb=SoCG67M3sFdDl_z42p0EbzkdCdPP
